block_height,block_time,comment,validators_hash,computed_hash,proposer_address,total_vp,6A3CACEAEA586C9AF3051249D6FF34942835DF10,0DA35960AC73947F415949EDAF885E1A9A186370,9901CCDA42B948EDDC835FB5C8AB06730A9C23CD,F29C3DB00F73F75D84B7DFDC7787BF78A91C6A81,A3A9B9712869F224F4F1F3CB3DE5D039D6268F21,B5B358B6B17052E2E1A00B8ED78127FFDFF584AF,FC9402FF4B53B8B72624C7FB28DDE49797EF474B,9B2D81FF1268365847546044CBAD688382D6B664,54443EF34125BDBDF74D8E1FD1EC3857160EF3CC,7EEBC8E086DB6453F77954C44C94D6FB6F0A625E,DC00DA048EC40BF29530626601840B18F48AC8A5,0B8F81F6A82C6B3708D6192C2AD1B53209E04F6C,7B24FEE1E6153D765DD696B7DC3588A38A6DF57D,003E6F7A2FD88BAA3E2117945671FE0D994E171D,0385B199514F483871B7B801A923BF53977B2916,03EABFB8409C4F62A732A3D728ACAA2E13403F50,056EBA066FB6355FE6B81FDF375C1CDDF5BEBBC6,0E311E3634B0F6F5959F9394577233D6882625D0,103CC3FC5E90C04EE208BD0716DC889552926EF8,1501A996ED5577FC65D57F92ACC8E15CE6B7DFAD,16625311355C4993FDA69D218875CAEB783F66D5,1E3AFDD98E0E1AEB50E7E7BE7BB78B71AB9FE1BA,214752CFB2CD5CB00EC625739C224AA406226D0E,305013CCA69866DA942265649D56B57D4F2545CC,3558238D72FAC0A40B276D8F238CDF28BE16B4AA,361FD80BB7893C4B4104D0D7A8C931F362D170D8,3B9916B501C53E38015676282F14E2AAF025F6C5,3D42458DD811C921CDA2A080FB018CBBA2B91CFD,41AA5DF98BDB8A809B956A7925CF21FA905D08DD,42890EEA7E9B02890605135356D90B6433A47749,4D6E16E3F7D89E8D839F716893D6A1F81C9F956D,52479C885E73D2F570D47E5F0433785051350DD1,52EA1C24DA94C67A8FED7C46E18A1CFC476D5717,55EACF6E14726E13F973903614087867404DF2CA,59CC9F852235473DF57BCEF37C60F3A29DB36811,5A22861F57F12829B68A022FB805685A4E5850C3,5BED074FAD72B341DE26B43628F2FE0917AC1D63,5DEFF454EB30618FA2B978D9FF1C8B523311F1D1,60DFD976E9B748B1E1F06FD7B6809A370BD3A302,61DDA93355D0ED14AD0F01DF9657F1D922FD8A08,65185BC275EB9232A2DFF23BEB4EAA075BDAD3CE,66843E34B5A0CC0D4FFACE4C928D200753D4B9D3,671C08BB55C1C242DC5A342889CD8C0071893FF9,71F5F0A14FA5CA88122A26569B0C3A9E3C6E5CAF,76D9967474B62835E703A577101D1FD35F84D36B,79FA40E44DECB3893E3646B58AA13C7FE898BE91,7A6A631756F2B240CBDFA81DF654DABA599C0F33,7A74EB2298B26CC9F30C1C682A5C0DE209EE3687,7E060283BE404E1E80CE738DDCC6C12F9EDE0113,87AD83AC8C84ABE5D8890E4DFE407F17BCD42B4E,8A73C4B75E360FF191B844A61B8845A0AD65D208,8C7E66C0416A002CFCF1A99F88F33FCC8F599944,8F7B51C1E8520E0BFA894ED83213E45DEB10E156,95E3F1574DDB503F0380D98A976E0CF8469B874F,96884BE29D4D231AFB90D034748286D51A6BE943,97075D998C11771B38AAA0ACFBFDF09EED078BC9,98051EE9D111826D0A03BBDD0334C7C246FC4636,9C87B7B7B0E79B4BE81D72C6B68F7122BCB04EEC,A2E373DC0894BC0CD0F5C7A8ECF22F1F9E8F5579,AA77A443F849606A4A8EB1639752068C1A2EEA5E,ADA6B3B2DE3BB2686DBEF1543C309D10D23EC2CC,B59B63331FD2120C89BF2E7DD657E7F9AA090A1D,BACE01F066D7C3344AA194E1A1B6FBF6FE8EBE1C,C43B466D9C3A60859B66A48E0B54C662BC701FB5,C759989AB500EDF629C4CED1267CA30F660E4024,CA799C8A8079B5BAC07CBCF77C94CA050CB4CB80,CC05882978FC5FDD6A7721687E14C0299AE004B8,CD0DA85F510345EAECB73AEED6E3C2C65AD27E53,CDA3887D2F0865E84BAC9C8241D4B5FF39591D28,D02B29F69E6BFC3E241F38162E82EE4C78D8DDA9,D0639638EF73670D4813E9D034F4499667B3BE7E,D4686840675436000E9B33B8A58193B9406ADDA3,D5D3EB2E5E2360782FAFAB7C0B3C45BFFB1587AB,DB5EF3A174014515A046E80E3164E22414123614,DDF94D41B15E7A77122259D83B2BDCF474540337,E12D86AC279259CBB0CC1D2C5DA9FADE3FD8D24F,E1A48ED16EB660BE4F259E0E3A62B8BE56F41E36,E2CDB3113C0392603810E16929C86C013A46F540,E63597E3F46F3A8C82379A72D37FD7D280E832FA,E77FE2A0D7784F9CE575D35F09FBB33BB05CC9EB,EE50044D5EE07FA2C2CC94F1A81D2B6DADC103EB,F54306AE4536A8818B3BCB46D156403FCE944650,F6EBCC201A051C2106A6F0CD95A452C843BA4F14,F7DF9EF920DFBCDCA1F382151685A69500BAF630,F98B3014AF2F2A5C8852263D65A0B679FB799B8C,23D4A4484D4D868427369088C4D0A2E56DAAF465,3CC44C72DFD38D8538F1AC2443E540CCA730261C,57D2C0F208DE8B603DA6C9B75CD95C32597BE348,7B0DE97C082AE7911928004FE8B145AA1FF56038,9797557328079BB3D3E588DAD873F0EA6C098C10,FDE7B9EDA5E8D918BA04235FA304AA3CE82C04C1,4544EF788285E35826DB28EC62FD704554CC7156,B4775B0FEBDFE023D6E24748BDD0B39F8366A8DD,B45362A682176E95B35B2084405D4F50A77F9CCA,8951CFD2B94DE0CF7BFF747C367F85095B83EB28,92E7331517D289430B70AB407BF9FA797403A470,93F3ACB2D3DD657C069E80405D37CEFCE5DEB2AC,FD9B65D22E19A8A6D34E02491CCDA7F4D0C48BC5,BE4D9D67579D9E9ECFD32B39AB2EAF988FA7A956,279009E814C0F2CE0B21E565512DBF4DCE9923C3,6B1CC4FF7E65DDAEA347F0DBA0DE8911139D3241,D9448D1A507A0F792C25F4FEAE01DDBC4748CA82,6D9D14A2729BA5F02AF203ABAFD5CE8284DD2670,6406B7B10A978323E679E226F0D3546E0470B864,C96B7A46D3E26FADD6B8B9393D2EE0318AFBA7EE,BF4F4707754A93FC8B10B4CA1DF98A043B776ADF,F649FD83C9557B080DBA654B506634F8AD87555F,1221F0F28823F9D5239F0B2CB9575944AA23E61A,292B3711E4423C2F47B7BE58BF72EF2BD0770CF0,616BA35C85E60F6C7F5AE9E5FD0843378D130F8E,C56B6EDB0F598797F625C717A740658CFDE49F86,7149CA24B79EE0E073B9ED04C232A9E9753FBAC9,5DEF681F8F155ACB4939294C20DF4FF00E8680B4,1C4A305A101EDFB122E8C15289F036C98986FCDB,DEF5A8B2156AAB712067DDB2EB27AF646FC6235A,657CB53BCDD047092A840BA12B894D6A079C05ED,1F72BBF37E781D570EF316BFCE2A3BABD27E3BF7,372D1BB96574A4F382BCC2E9E5DC1A71CC6B0CE9,0EF0215085935B0BDD092EEF58DBCD5ADE6F91BE,BE11EA8919773D1D972D5B74EABC964BFC51C72D,C7F26CF4C07C9FF25CF2E5DDF02FAC2E6B2797EC,CD9E234ED9742A341A67EAEC1A0B2D97CC89663C,D269A81C7741F458C31DB7FB14C58176421FB2F8,365464D12717C9A89840B13C0E7B0C602FB01B37
40526,2022/11/24 00:51:35,NEW_VALSET:PCHEIGHT/265418,01507DFF17750451B8A90C9ABEA94FA9FC882133ED83B8A3FE7217DC261869CA,2683E837384505E65E9FC9B712E95A1D742E1D2C581D2E8E8917A614059EB129,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110568,670100004,784,418,310,300,142,104,95,98,100,0,96,100,100,100,100,90,0,100,100,109,99,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0
40536,2022/11/24 00:52:25,NEW_VALSET:PCHEIGHT/265428,A85B2CED839D4893DBAC2CB34EAF970B4DE9A9F7A44670913655390CD6B0C943,36077D0CD6BD501CFB7E0965DD9D763E9B29DC8B5CAB2156C293658E26B54530,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110468,670100004,784,418,310,300,142,104,95,98,100,0,96,100,100,100,100,90,0,100,100,109,99,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
40598,2022/11/24 00:57:38,NEW_VALSET:PCHEIGHT/265490,1CF7C5BE56B5F441E242C0504EFB8FAC102D485E9BA63C2E237EC000FD17FDCB,D4F8E287F0EEC0C80197B550AEBDE60B97A537BA8BEA5A490F33CD44D724FAD9,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110470,670100004,784,418,310,300,142,104,97,98,100,0,96,100,100,100,100,90,0,100,100,109,99,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
40634,2022/11/24 01:00:40,NEW_VALSET:PCHEIGHT/265526,7A9EC2ACF1C85F851D8629AC6E99DF6DB9F758F5C8D0786E4492E2C89EF5A480,ACC42BCE2A3C11E88716B976344FF513A813A27FB438ACFBED2A07C7135A1BF2,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110471,670100004,784,418,310,300,142,104,98,98,100,0,96,100,100,100,100,90,0,100,100,109,99,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
40670,2022/11/24 01:03:42,NEW_VALSET:PCHEIGHT/265562,90AD94AB56CF81495874C138673BAC9FF75331008FEDAE463BFDA4D23CD0BA19,B8D13095E7D3EF9330A680EB2FE37ABAA1C87C9253EA629811C2A499528242A7,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110472,670100004,784,418,310,300,142,104,99,98,100,0,96,100,100,100,100,90,0,100,100,109,99,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
40706,2022/11/24 01:06:43,NEW_VALSET:PCHEIGHT/265598,E6194E4FD156C030F3C60EE4AF3ABAC0960162D717A494D74EB79A325CFD066F,8C510E879CB29C059F2B265A515A8B2A5776969789B523DB415EDDA2BD42358F,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110473,670100004,784,418,310,300,142,104,100,98,100,0,96,100,100,100,100,90,0,100,100,109,99,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
40778,2022/11/24 01:12:47,NEW_VALSET:PCHEIGHT/265670,93200277388438CA53EFBE857161A57E38C4D03C3E3DA91602422814E4F0CDF4,12D30A40C7F395E2BF338BE34F4548486C15D461A92064D1BDC91AFBF5B0392B,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110475,670100004,784,418,310,300,142,104,100,98,100,0,98,100,100,100,100,90,0,100,100,109,99,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
40814,2022/11/24 01:15:48,NEW_VALSET:PCHEIGHT/265706,A99E352D802D9E3558093B7D15A7D4D369E79A5F799577662526CCEE98D7D566,F0DA30FF3A268C2D2466069FB3191F5A192ED8B8B83FACB01D7FCE13F5D0ABE1,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110477,670100004,784,418,310,300,142,104,100,98,100,0,100,100,100,100,100,90,0,100,100,109,99,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
40886,2022/11/24 01:21:52,NEW_VALSET:PCHEIGHT/265778,0F69589B1F65B5E1F2DFB870EB842B547C54C801F7C0BD168BA7C7B5A775523D,68E66ECBBB8C30454AB0A240365051471FF8100F711D44040A5135DAF10D4CC2,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110479,670100004,784,418,310,300,142,104,100,98,100,0,100,100,100,100,100,90,0,100,100,109,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
40922,2022/11/24 01:24:54,NEW_VALSET:PCHEIGHT/265814,22559C710E8FDE25B1F64943999F83024C417B638DA1D4A3D2CA4693E12D7C62,8FD569D0318A560D88F9C34A81C8B4C938B3CCEB60161D03E67ED95C25B48B25,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110480,670100004,784,418,310,300,142,104,100,98,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,98,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
40993,2022/11/24 01:30:52,NEW_VALSET:PCHEIGHT/265885,834882A877E567F8F8C6158027FC8865BE615462058D11846708E1FD140540E2,6402D7DBB644DB8100A46B11EFFAECC51D89C22908BD5122EDCC8AECFA5C8059,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110481,670100004,784,418,310,300,142,104,100,98,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,99,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41029,2022/11/24 01:33:54,NEW_VALSET:PCHEIGHT/265921,81B243FDCB63F5A2A5EB6BA0FC09A2BEA69B0F328FD54F9403F0EA30A77DF40B,8D0F294D6798769E2F88328F605A1A44054F020407131A64515830FC86228CAD,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110482,670100004,784,418,310,300,142,104,100,98,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,98,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41101,2022/11/24 01:39:57,NEW_VALSET:PCHEIGHT/265993,00B6B74E381A220C62581A348CCDB711C028000311DAA67AB6641D20AC8C907A,21CEA8609DB8AAD1761E1346EF11EF301043EF530590A57FC89AAF7A89D438E2,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110483,670100004,784,418,310,300,142,104,100,98,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,99,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41137,2022/11/24 01:42:59,NEW_VALSET:PCHEIGHT/266029,ADFA96852B85A561C4324DCDBA30494346F8B1681267D9E2C9C1D75948179005,181743C58CF3CC3F337D62B03F91B11F3E39756F974ED61B38B226F2F2029ED2,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110484,670100004,784,418,310,300,142,104,100,98,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,98,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41209,2022/11/24 01:49:03,NEW_VALSET:PCHEIGHT/266101,D5AE23FEA4930855B4B411ED97092AA312F4F2C7A39C8A2990A11ACC792FB970,8BB92973D0A83AF4DA9D1251D4EE4D4D8D3B98294D60CA1688E5305CE888D026,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110485,670100004,784,418,310,300,142,104,100,98,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,99,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41245,2022/11/24 01:52:04,NEW_VALSET:PCHEIGHT/266137,A4EF72F155478A6E40B4D597C773E334C75B3A993EA87B72DF23BC1768DF1A80,897BFF722429E7B40E1BBE5839490439193770B3AE8076048D1CD8D8042E9743,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110486,670100004,784,418,310,300,142,104,100,98,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41317,2022/11/24 01:58:08,NEW_VALSET:PCHEIGHT/266209,DB502BCCA6AD3597A97AF20E4C322ADCE9C416155E5EF91ED9D28E0CE3F80E04,29875C77FCF40F223D35B739FB99F4722B1BF129CC3CA644027BAECB06D242F5,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110488,670100004,784,418,310,300,142,104,100,100,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,99,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41446,2022/11/24 02:08:59,NEW_VALSET:PCHEIGHT/266339,CEAADAE0AF20ECDAEACEC3538DD35F265F439FEBB68DF13524A9C9D0AFB82037,DD8C5A722B588E193F1CA248E7AAF7A4B135DD2EAC5867A63AE353C505707169,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110489,670100004,784,418,310,300,142,104,100,100,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41482,2022/11/24 02:12:01,NEW_VALSET:PCHEIGHT/266375,738575AAA0C5AF3626A85EC56F397141A6B72CD585352C559ED330CEA71DCDE4,974BCCC3A8BB0D6C5F9CEAE86DA2A0244477D29B2426849DBDBA68902C11BCC1,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110490,670100004,784,418,310,300,142,104,100,100,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,101,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41518,2022/11/24 02:15:03,NEW_VALSET:PCHEIGHT/266411,A34B5E56D8EBE6E3097109ADDA65E38DE720486F5DFBF8C3F8C9ACD5DFEF593A,57989239466BB07F7711BC1EBECAD1B64EA0CEBA1AF324E11F6DE2B137D818D1,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110494,670100004,784,418,310,300,142,104,100,100,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,105,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41554,2022/11/24 02:18:05,NEW_VALSET:PCHEIGHT/266447,773534918A55D95D6D81B5B0DCD213545A225E1C3B68ED25521580D7B3463343,A6C48EB04D33942D6AE370DF67F6A0A46D8A7DDD1BA97D01DD2AE93877E0B8F9,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110499,670100004,784,418,310,300,142,104,100,100,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,99,0,100,100,100,110,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41627,2022/11/24 02:24:13,NEW_VALSET:PCHEIGHT/266520,7820EA47BB83F98BD91DB8D8E01FC845DE7B1EF5A5A0BA46C28405A2339AB143,86E1B6DAD3F877764BC6BF8982812AEF7B9D15B32E49A9E1A586024EB28A2E35,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110500,670100004,784,418,310,300,142,104,100,100,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,100,0,100,100,100,110,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41663,2022/11/24 02:27:15,NEW_VALSET:PCHEIGHT/266556,AD7539F337899ED6C7EF961964830CA329CE686AE804155D6776C7D61F555743,04E022E5507F5C4A83FAD023C218EEC4E54C32C49876D325F40BE0BC5B229E55,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110501,670100004,784,418,310,300,142,104,100,100,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,101,0,100,100,100,110,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41699,2022/11/24 02:30:17,NEW_VALSET:PCHEIGHT/266591,151C900E01B3705329541A92DE2C17FE8FCA276B69309624516CFF66B5E3429B,14D7877CF3FC003269E62883F61AD52953F130B45B3B75C2E1C11C628648C1AE,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110505,670100004,784,418,310,300,142,104,100,100,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,105,0,100,100,100,110,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
41736,2022/11/24 02:33:24,NEW_VALSET:PCHEIGHT/266624,19E62EFF5DD46F342B71CDA82B34544BA8D5B88DD7AEA968217E9C21D6892BBF,353BEB9ED82702674F25897952B41E12D05F2659A75D0CD92DF538457CAD9718,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670110510,670100004,784,418,310,300,142,104,100,100,100,0,100,100,100,100,100,90,0,100,100,109,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,110,0,100,100,100,100,100,100,100,0,0,100,110,0,100,100,100,110,100,100,100,0,0,0,0,0,0,0,0,100,0,110,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
