address,totalVSCPackets,effectedVSCPackets
cosmos1f9k0728rcngqj7p2eeqk27v8dw5sw5ccydx77j,271,271
cosmos15avrz9sx0grrvy0jgjyv53rgv984kfyfn6v3yk,212,211
cosmos1xayzw0qupye5rmufkan9laxuqwcyqx3dcyztvw,123,115
cosmos1dftsfeuhm4y5tz03250fw42vyjmtqnvvk377qs,95,95
cosmos1wdal3x50r7yutzu9kh5v9f4p4ayrrsnl96s3v3,81,81
cosmos1y9rfuqy8l7ud45a250m5ywfynuvy0krkjs8xa9,39,39
cosmos1rhvj25tutkld9p43y6w8pdfhcfzk270dc76tmn,17,17
cosmos104a39tctqk8zurpaff9ktcxn02xluxh5ncls8n,10,5
cosmos15gf7yh8p3pg8s2nn07avx7wuhx85zqugmel2nw,1,1
