address,totalVSCPackets,effectedVSCPackets
cosmos149nfuveshlx7g7g5z8rngc8dagl0jv2cjtew9v,54,54
cosmos15md2qvgma8lnvqv67w0umu2paqkqkhege2evgl,15,9
cosmos1sye6pl3hepv2gypg97pafj2cd5rkqgye2lqu2r,13,13
cosmos1ettes35du4un23gz0jp2gjgv3xrazt3l95pm5k,2,2
cosmos1vqsxcvgvd7nex8ex06enm6vuyrkjkuwg9clh3w,1,1
